#dt=1.000000e-08 Ndt=2500000 T=0.025 t1=35.2766 n=3527663520LU=2.50025e+10LF
#-8 8 27 0 0 #x,y,z t j
0.919412521837753125857137760201880518938747108403993069869730188505683699893675e1 0.1606203048653830657377012814153256185922640054564096270425942976469963373893715e2 0.1544594895491822046934895789258616600808282503252646135586637669533846324426041e2 0.1824999999999999999999999999999999999999999999999999999999999999999999788820226e1 73
0.1098959144984168497974122180469542544779105256075757937250755540182111036094613e2 0.1839956381117431240569153964864066499336847543177145194904405177514756839096439e2 0.1867407894236956241719821957994221455834413201327001778804769396100525218949701e2 0.1849999999999999999999999999999999999999999999999999999999999999999999782420839e1 74
0.1283796883418805756010975252800982882602382784596529629251934323339627819007399e2 0.2005390714346402371274657175023983415355427068603369976817992078546306325690333e2 0.2304942034105253774537025328039958861759251295368796210974133900846869759823817e2 0.1874999999999999999999999999999999999999999999999999999999999999999999776021452e1 75
0.1449857948859439956711788172244916730041995870474584450115400341916716579448586e2 0.203392235848581747307842930018356357495539463875358688179875967280554227970817e2 0.283064963906677645495512020962878797436707818310253528388529522660939780138178e2 0.1899999999999999999999999999999999999999999999999999999999999999999999769622065e1 76
0.1563875142792141883368224757450533522234781282825863838953204331287784240007133e2 0.1868905520905684921483163626830317216431530093463541320799201570137356913395598e2 0.336793848826648837582190883737079675424106136391641292411404094089830073753497e2 0.1924999999999999999999999999999999999999999999999999999999999999999999763222678e1 77
0.1593024543589849558426657154697119069449641374467951029369878716702430345439843e2 0.1509153446851994882802359880475342809001923269767443329933257566305223060657955e2 0.3803355107038149431704459952949306620145288697349094361871964467380893639690237e2 0.1949999999999999999999999999999999999999999999999999999999999999999999756823291e1 78
0.152051229721583062190047317434118420287572620960977011511717066000251573573689e2 0.1031240699638034735733815300193607033393471600796776465358343609791745578941697e2 0.4040374406890636658105292548963412179540976167510675033544334506998298640988314e2 0.1974999999999999999999999999999999999999999999999999999999999999999999750423904e1 79
0.1356283142599731939670690879653082410652148915302820319671917687129664839418494e2 0.5545593284282058754299143534302308767869123373052018422300305529932781892647987e1 0.4055658820818804916274548719846714777234714672717957622902251800673750804445508e2 0.1999999999999999999999999999999999999999999999999999999999999999999999744024517e1 80
0.11328006376844469064244923916389618656775481463886014540989865922329818042942e2 0.1739264010185296852062818593270398648732136006255133586468654637756189500379798e1 0.3901867189464044057895644301194342214605644129280256460014704170889159064872461e2 0.202499999999999999999999999999999999999999999999999999999999999999999973762513e1 81
0.8894048219944833329412735036538988815563412386654877077330970578101210519387071e1 -0.7732959009608941416269852966752950875325261152599612126667911648869207176848594e0 0.3660315042504109665995061798260636678543659407373416502225513666799752762414882e2 0.2049999999999999999999999999999999999999999999999999999999999999999999731225743e1 82
0.6578983170327957727254157750212310852136777772764808060560920945727536141664289e1 -0.2152274768370458268031961038554367766072199839883845511112045207321236263236919e1 0.3395991924164511100015916923290326863956747683652595631546009549622433413830667e2 0.2074999999999999999999999999999999999999999999999999999999999999999999724826355e1 83
0.456783494087535821275002971300500427434606164744683159223449184432368037479618e1 -0.2749093124404407548525930998269992859057948652578833089045526123173224855902052e1 0.314370799524741310056345920439222949809119138224833745963274538468253674902438e2 0.2099999999999999999999999999999999999999999999999999999999999999999999718426968e1 84
0.2926608123710335262684572914910793283561182742938658942156882239617484348918292e1 -0.2896987519846089616745213782359113079828576584903884843781481952942153707263737e1 0.2915460794994497249507347938644139515663544720315833690266385227297071267366246e2 0.2124999999999999999999999999999999999999999999999999999999999999999999712027581e1 85
0.1643172570564956121356060197804096553400453049235023501728612971574186495912985e1 -0.2837102491640181490625869407403602304515970764177283849597735072672054658491157e1 0.2711766760605275402600502752931091112380521220857436510397058813479923688335746e2 0.2149999999999999999999999999999999999999999999999999999999999999999999705628194e1 86
0.6655306249309210844730792220166947759201728775302595977742263669034921827996646e0 -0.2720114856910060774047902256740964037431906015600084967591262070395915997044504e1 0.2529286575007186403731819217413970881853836869678983637976893031315688397153135e2 0.2174999999999999999999999999999999999999999999999999999999999999999999699228807e1 87
-0.7208936911744598617452704609728631698260114048666759661825393019939131384084478e-1 -0.2631100014211501467633185905425163534999599321817843140207680545327434647116177e1 0.236437314778714333877168752938038559942620060827038993338549921734479898393717e2 0.219999999999999999999999999999999999999999999999999999999999999999999969282942e1 88
-0.634616030235170465528983395631955712989995003199617332037159041535882950683896e0 -0.2614227453082576450599970834110345387124375771848092058236363921396587819200094e1 0.2214216711342842304736142216207714324869625716273034885641710242863884515938799e2 0.2224999999999999999999999999999999999999999999999999999999999999999999686430033e1 89
-0.107950925843357218668251276271170834026111741140101023744260189894323996062316e1 -0.2691080269037949487772287926627635393207667925697836661992796040602170583424922e1 0.2076968739708270758809210079079933150231756068365973351318940793070873457796959e2 0.2249999999999999999999999999999999999999999999999999999999999999999999680030646e1 90
